id,name,type,start_date,end_date,days_left,condition,cost_maintenance,status
GT-0037,Biên bản hợp tác,Giấy tờ,2024-08-22,2027-04-05,512,Tốt,4402339.2,2
PC-0038,Máy chủ Dell PowerEdge,Phần cứng,2025-03-09,2026-12-29,383,Tốt,4357302.95,2
PC-0039,Switch Cisco SG350,Phần cứng,2023-03-03,2024-09-27,-431,Hỏng,550259.62,0
GT-0040,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2025-07-09,2025-12-14,35,Tốt,4090073.83,2
GT-0041,Giấy ủy quyền đại diện,Giấy tờ,2024-06-06,2026-02-01,120,Tốt,2553736.51,2
GT-0042,Giấy phép kinh doanh,Giấy tờ,2023-12-15,2026-02-03,86,Tốt,1220627.61,2
PM-0043,Domain công ty .vn,Phần mềm,2025-10-04,2027-05-02,534,Tốt,324461.24,2
PC-0044,Máy tính bàn HP EliteDesk,Phần cứng,2025-02-22,2027-05-02,531,Tốt,740434.65,2
GT-0045,Giấy ủy quyền đại diện,Giấy tờ,2022-02-11,2024-07-12,-510,Hỏng,4883074.78,0
PC-0046,Router Mikrotik RB750Gr3,Phần cứng,2024-06-25,2025-04-10,-227,Hỏng,1197809.45,0
PC-0047,Máy in Canon LBP 2900,Phần cứng,2024-01-25,2026-03-21,122,Tốt,4928252.27,2
PM-0048,Domain công ty .vn,Phần mềm,2022-12-18,2024-10-10,-382,Hỏng,1848272.28,0
GT-0049,Biên bản thanh lý hợp đồng,Giấy tờ,2022-05-10,2025-01-09,-302,Cần bảo trì,1838915.66,1
PC-0050,Router Mikrotik RB750Gr3,Phần cứng,2025-01-31,2026-11-28,355,Tốt,2678873.42,2
PM-0051,Hợp đồng thuê văn phòng,Phần mềm,2026-06-21,2027-04-28,552,Cần bảo trì,2540993.88,1
GT-0052,Giấy phép kinh doanh,Giấy tờ,2023-06-24,2026-01-10,53,Tốt,1629794.53,2
PM-0053,Domain công ty .vn,Phần mềm,2022-12-20,2024-08-15,-464,Cần bảo trì,1743329.94,1
PM-0054,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2024-12-05,2025-07-23,-103,Hỏng,3454688.69,0
PM-0055,Bản quyền Windows Server 2022,Phần mềm,2025-01-03,2026-08-10,286,Tốt,687604.72,2
GT-0056,Biên bản thanh lý hợp đồng,Giấy tờ,2022-02-13,2024-08-19,-436,Hỏng,2707239.87,0
PC-0057,Máy tính bàn HP EliteDesk,Phần cứng,2022-11-24,2024-12-09,-351,Hỏng,3299920.23,0
PC-0058,Router Mikrotik RB750Gr3,Phần cứng,2026-09-04,2027-01-02,411,Cần bảo trì,2583179.46,1
GT-0059,Biên bản kiểm tra tài sản,Giấy tờ,2024-02-07,2026-09-04,301,Tốt,465513.84,2
GT-0060,Hợp đồng thuê văn phòng,Giấy tờ,2026-09-25,2027-06-18,598,Tốt,40931939.58053996,2
GT-0061,Phiếu đăng ký nội bộ,Giấy tờ,2026-04-10,2027-04-18,515,Tốt,3501789.15,2
PM-0062,Giấy phép Zoom Pro,Phần mềm,2023-04-21,2024-08-20,-452,Hỏng,2022540.64,0
GT-0063,Phiếu đăng ký nội bộ,Giấy tờ,2023-11-29,2025-10-29,-31,Hỏng,4678174.97,0
PC-0064,Switch Cisco SG350,Phần cứng,2023-10-12,2024-11-30,-365,Hỏng,303190.3571587549,0
PC-0065,Máy chiếu Epson EB-X51,Phần cứng,2024-03-07,2024-06-28,-490,Cần bảo trì,4868319.18,1
PC-0066,Bộ lưu điện APC 1000VA,Phần cứng,2025-09-09,2026-08-16,297,Tốt,2743668.95,2
PC-0067,Bộ lưu điện APC 1000VA,Phần cứng,2024-05-31,2026-12-02,355,Tốt,1121346.55,2
GT-0068,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2025-03-12,2026-05-31,215,Tốt,2469468.58,2
PM-0069,Bản quyền Windows Server 2022,Phần mềm,2023-07-02,2025-04-26,-195,Hỏng,1540303.96,0
PM-0070,License AutoCAD 2024,Phần mềm,2022-10-11,2025-07-04,-141,Tốt,1326011.84,2
PC-0071,Switch Cisco SG350,Phần cứng,2023-02-14,2024-04-28,-558,Hỏng,4894464.29,0
PM-0072,License AutoCAD 2024,Phần mềm,2023-10-09,2024-04-17,-551,Hỏng,3974056.52,0
PC-0073,Switch Cisco SG350,Phần cứng,2023-09-21,2024-12-30,-318,Hỏng,3344620.3,0
GT-0074,Biên bản hợp tác,Giấy tờ,2025-06-30,2027-01-05,442,Tốt,3612260.58,2
PM-0075,Phần mềm quản lý nhân sự,Phần mềm,2024-04-10,2025-09-19,-93,Hỏng,3842770.07,0
GT-0076,Hợp đồng cung cấp dịch vụ,Giấy tờ,2022-12-27,2024-08-26,-431,Hỏng,4769642.89,0
GT-0077,Phiếu đăng ký nội bộ,Giấy tờ,2022-02-04,2024-06-28,-501,Hỏng,3738593.87,0
GT-0078,Biên bản kiểm tra tài sản,Giấy tờ,2025-03-19,2025-07-31,-108,Tốt,2763824.83,2
PM-0079,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2025-04-20,2026-02-19,100,Tốt,4265047.28,2
PM-0080,Domain công ty .vn,Phần mềm,2026-07-24,2026-11-10,350,Tốt,954555.16,2
GT-0081,Giấy ủy quyền đại diện,Giấy tờ,2022-08-07,2024-07-27,-476,Hỏng,1863434.34,0
PC-0082,Máy chiếu Epson EB-X51,Phần cứng,2023-02-10,2025-10-08,-30,Hỏng,3480148.98,0
PC-0083,Máy chủ Dell PowerEdge,Phần cứng,2024-08-07,2025-12-07,47,Tốt,3075036.13,2
PC-0084,Bộ lưu điện APC 1000VA,Phần cứng,2026-07-30,2026-11-08,353,Tốt,1270818.25,2
PC-0085,Ổ cứng WD 1TB,Phần cứng,2025-01-11,2026-05-15,172,Tốt,4243348.97,2
GT-0086,Hồ sơ nhân sự,Giấy tờ,2023-01-27,2024-11-22,-363,Hỏng,1797455.76,0
GT-0087,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2025-09-26,2026-04-19,172,Tốt,2098904.28,2
PC-0088,Switch Cisco SG350,Phần cứng,2023-04-10,2025-08-28,-71,Hỏng,407970.9,0
PM-0089,Giấy phép Microsoft 365,Phần mềm,2021-10-18,2024-04-26,-573,Hỏng,3991475.89,0
GT-0090,Giấy ủy quyền đại diện,Giấy tờ,2024-01-17,2025-08-15,-81,Hỏng,1983919.14,0
PC-0091,Laptop Dell XPS 13,Phần cứng,2023-04-25,2025-07-05,-129,Hỏng,1651452.7613581864,0
PC-0092,Máy chủ Dell PowerEdge,Phần cứng,2024-11-29,2026-03-01,141,Tốt,3360130.68,2
PM-0093,Phần mềm quản lý nhân sự,Phần mềm,2023-07-11,2025-10-17,-37,Hỏng,4909204.44,0
PC-0094,Máy chiếu Epson EB-X51,Phần cứng,2023-12-27,2025-10-12,-36,Hỏng,152501.25,0
PC-0095,Ổ cứng WD 1TB,Phần cứng,2026-06-16,2027-03-04,471,Tốt,2685412.14,2
GT-0096,Hợp đồng thuê văn phòng,Giấy tờ,2026-05-06,2027-03-03,454,Tốt,1357714.58,2
GT-0097,Hợp đồng thuê văn phòng,Giấy tờ,2025-04-12,2026-05-06,177,Tốt,258408.61,2
PC-0098,Máy tính bàn HP EliteDesk,Phần cứng,2023-12-17,2026-08-05,270,Tốt,3187149.51,2
GT-0099,Biên bản thanh lý hợp đồng,Giấy tờ,2023-06-16,2025-12-17,35,Tốt,3572975.52,2
PM-0100,License AutoCAD 2024,Phần mềm,2023-07-15,2024-07-19,-485,Hỏng,1354161.26,0
PC-0101,Router Mikrotik RB750Gr3,Phần cứng,2024-09-23,2026-04-01,119,Tốt,921668.37,2
PC-0102,Router Mikrotik RB750Gr3,Phần cứng,2025-10-15,2027-05-19,544,Tốt,3479871.03,2
GT-0103,Biên bản kiểm tra tài sản,Giấy tờ,2024-12-02,2027-03-08,476,Tốt,4576068.64,2
PM-0104,Giấy phép Zoom Pro,Phần mềm,2026-04-29,2027-04-15,507,Tốt,2746133.32,2
GT-0105,Biên bản thanh lý hợp đồng,Giấy tờ,2024-06-25,2026-09-04,294,Tốt,4774326.4,2
PM-0106,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2024-09-23,2025-10-23,-14,Hỏng,,0
PM-0107,Giấy phép Zoom Pro,Phần mềm,2022-05-21,2024-08-22,-419,Hỏng,1779863.39,0
GT-0108,Biên bản kiểm tra tài sản,Giấy tờ,2023-11-20,2026-02-16,99,Tốt,1709398.33,2
GT-0109,Phiếu đăng ký nội bộ,Giấy tờ,2024-08-29,2026-12-25,412,Tốt,1557066.55,2
PC-0110,Switch Cisco SG350,Phần cứng,2025-07-09,2026-09-19,310,Tốt,489170.8,2
GT-0111,Giấy ủy quyền đại diện,Giấy tờ,2022-07-09,2025-03-13,-273,Hỏng,1992523.67,0
PC-0112,Máy tính bàn HP EliteDesk,Phần cứng,2026-11-18,2027-04-19,523,Tốt,226520.05,2
PM-0113,License phần mềm kế toán MISA,Phần mềm,2022-12-28,2025-06-06,-158,Hỏng,2505199.42,0
GT-0114,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2026-03-15,2027-01-25,476,Tốt,352843.74,2
PM-0115,Domain công ty .vn,Phần mềm,2023-03-21,2025-07-31,-107,Hỏng,4335994.67,0
PM-0116,Gói dịch vụ Google Workspace,Phần mềm,2025-04-28,2026-02-09,94,Tốt,2866835.21,2
GT-0117,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2026-03-04,2027-06-26,590,Tốt,4526753.21,2
GT-0118,Phiếu đăng ký nội bộ,Giấy tờ,2022-08-19,2024-04-02,-607,Hỏng,503890.01,0
PC-0119,Thiết bị NAS Synology DS220+,Phần cứng,2025-03-15,2025-08-02,-85,Hỏng,3091269.42,0
PM-0120,Giấy phép Microsoft 365,Phần mềm,2023-10-07,2024-06-19,-500,Hỏng,1594878.15,0
PC-0121,Máy in Canon LBP 2900,Phần cứng,2026-09-15,2027-01-07,433,Tốt,4072342.41,2
GT-0122,Biên bản hợp tác,Giấy tờ,2023-12-26,2026-06-25,211,Tốt,3483685.83,2
GT-0123,Biên bản thanh lý hợp đồng,Giấy tờ,2024-11-25,2025-05-08,-167,Hỏng,195931.63,0
GT-0124,Hồ sơ nhân sự,Giấy tờ,2024-05-25,2027-01-06,399,Tốt,1410172.86,2
PC-0125,Máy in Canon LBP 2900,Phần cứng,2022-11-26,2025-06-21,-135,Hỏng,2842601.42,0
PM-0126,License AutoCAD 2024,Phần mềm,2025-08-06,2027-04-18,555,Tốt,2063088.38,2
PC-0127,Thiết bị NAS Synology DS220+,Phần cứng,2024-10-27,2026-01-13,47,Tốt,4653786.63,2
GT-0128,Giấy ủy quyền đại diện,Giấy tờ,2024-05-11,2024-12-25,-330,Hỏng,3772714.37,0
GT-0129,Phiếu đăng ký nội bộ,Giấy tờ,2022-05-06,2024-05-22,-538,Hỏng,2482805.95,0
GT-0130,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2023-09-29,2025-04-22,-212,Hỏng,,0
GT-0131,Biên bản hợp tác,Giấy tờ,2024-11-10,2025-04-21,-228,Hỏng,4792707.48,0
PM-0132,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2024-04-17,2024-12-11,-335,Hỏng,1596568.19,0
PC-0133,Máy in Canon LBP 2900,Phần cứng,2024-11-29,2026-07-20,234,Tốt,,2
GT-0134,Biên bản hợp tác,Giấy tờ,2025-03-31,2027-05-02,529,Tốt,3012204.63,2
PM-0135,Bản quyền Windows Server 2022,Phần mềm,2026-02-03,2027-06-09,560,Tốt,3906480.25,2
PM-0136,Domain công ty .vn,Phần mềm,2025-01-07,2027-02-20,488,Tốt,80455702.9230499,2
PC-0137,Máy tính bàn HP EliteDesk,Phần cứng,2024-07-15,2025-12-15,21,Cần bảo trì,2207652.51,1
PM-0138,Giấy phép Microsoft 365,Phần mềm,2023-10-20,2024-11-11,-371,Hỏng,3529157.42,0
PM-0139,License AutoCAD 2024,Phần mềm,2025-09-27,2027-01-18,444,Tốt,3807553.16,2
GT-0140,Giấy ủy quyền đại diện,Giấy tờ,2025-02-10,2027-07-02,579,Tốt,3504845.66,2
PC-0141,Ổ cứng WD 1TB,Phần cứng,2025-03-13,2026-10-23,348,Tốt,4459484.54,2
PC-0142,Router Mikrotik RB750Gr3,Phần cứng,2023-04-30,2024-04-12,-552,Hỏng,424188.57,0
PM-0143,Phần mềm quản lý nhân sự,Phần mềm,2025-03-16,2025-08-03,-125,Hỏng,1183425.97,0
PM-0144,Domain công ty .vn,Phần mềm,2027-01-14,2027-05-21,558,Tốt,1751091.23,2
PM-0145,Bản quyền Windows Server 2022,Phần mềm,2024-10-18,2025-06-09,-152,Hỏng,1889937.95,0
PM-0146,Gói dịch vụ Google Workspace,Phần mềm,2025-05-09,2026-03-05,125,Tốt,4531771.93,2
PM-0147,Domain công ty .vn,Phần mềm,2022-02-14,2024-09-10,-447,Hỏng,56768.22,0
PC-0148,Máy in Canon LBP 2900,Phần cứng,2023-02-12,2025-07-10,-145,Hỏng,3835974.27,0
PM-0149,License AutoCAD 2024,Phần mềm,2026-08-31,2027-01-10,432,Tốt,3405197.14,2
PC-0150,Máy in Canon LBP 2900,Phần cứng,2026-01-27,2026-06-23,227,Tốt,,2
GT-0151,Biên bản hợp tác,Giấy tờ,2022-09-24,2024-05-18,-539,Hỏng,60772.37,0
GT-0152,Giấy phép kinh doanh,Giấy tờ,2025-01-24,2026-06-14,219,Tốt,4455715.57,2
PC-0153,Máy tính bàn HP EliteDesk,Phần cứng,2022-12-07,2024-10-10,-408,Hỏng,4595578.58,0
PM-0154,Gói dịch vụ Google Workspace,Phần mềm,2022-01-31,2024-05-07,-551,Hỏng,3146993.19,0
PC-0155,Switch Cisco SG350,Phần cứng,2023-07-17,2026-01-06,59,Tốt,3685503.53,2
PM-0156,Gói Cloud AWS Business,Phần mềm,2025-09-10,2026-03-27,124,Tốt,289319.49,2
PC-0157,Bộ lưu điện APC 1000VA,Phần cứng,2023-11-27,2026-01-18,95,Tốt,1678300.32,2
PC-0158,Thiết bị NAS Synology DS220+,Phần cứng,2023-05-31,2026-01-26,82,Tốt,2318492.02,2
PC-0159,Laptop Dell XPS 13,Phần cứng,2023-06-10,2025-09-12,-79,Hỏng,388673.18,0
GT-0160,Giấy phép kinh doanh,Giấy tờ,2023-10-29,2025-08-05,-89,Hỏng,161579.76,0
GT-0161,Phiếu đăng ký nội bộ,Giấy tờ,2023-04-21,2025-06-18,-155,Hỏng,,0
GT-0162,Biên bản kiểm tra tài sản,Giấy tờ,2023-05-04,2025-04-15,-199,Hỏng,69791823.05504535,0
GT-0163,Hợp đồng cung cấp dịch vụ,Giấy tờ,2023-12-01,2025-06-14,-134,Hỏng,413742.1,0
PC-0164,Máy chủ Dell PowerEdge,Phần cứng,2024-08-03,2026-08-15,264,Tốt,824171.31,2
GT-0165,Hợp đồng thuê văn phòng,Giấy tờ,2024-10-28,2027-03-15,502,Tốt,2401850.41,2
PM-0166,Bản quyền Windows Server 2022,Phần mềm,2026-04-09,2026-07-22,258,Tốt,,2
GT-0167,Giấy phép kinh doanh,Giấy tờ,2025-09-22,2026-06-23,238,Tốt,4210594.62,2
GT-0168,Biên bản kiểm tra tài sản,Giấy tờ,2022-12-06,2024-07-13,-468,Hỏng,2074097.51,0
GT-0169,Giấy phép kinh doanh,Giấy tờ,2024-02-07,2026-06-22,218,Tốt,4323611.88,2
GT-0170,Biên bản thanh lý hợp đồng,Giấy tờ,2024-12-20,2026-05-01,159,Tốt,2777158.53,2
GT-0171,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2023-06-02,2026-01-27,63,Tốt,3785406.01,2
PM-0172,Giấy phép Microsoft 365,Phần mềm,2024-10-22,2027-04-04,496,Cần bảo trì,2252720.68,1
PC-0173,Thiết bị NAS Synology DS220+,Phần cứng,2023-01-05,2024-05-11,-551,Hỏng,1373658.99,0
PC-0174,Router Mikrotik RB750Gr3,Phần cứng,2025-10-17,2026-08-19,285,Tốt,3784995.66,2
PC-0175,Máy tính bàn HP EliteDesk,Phần cứng,2024-03-02,2024-06-24,-502,Hỏng,567787.96,0
PC-0176,Router Mikrotik RB750Gr3,Phần cứng,2023-06-12,2026-01-24,85,Tốt,2381053.48,2
PM-0177,Phần mềm quản lý nhân sự,Phần mềm,2023-03-02,2024-12-14,-333,Hỏng,4081928.68,0
GT-0178,Giấy phép kinh doanh,Giấy tờ,2023-08-06,2026-04-23,184,Tốt,2017414.33,2
PM-0179,Gói dịch vụ Google Workspace,Phần mềm,2025-03-15,2026-09-26,314,Tốt,3775686.28,2
GT-0180,Hợp đồng cung cấp dịch vụ,Giấy tờ,2022-04-06,2024-06-04,-485,Hỏng,1064820.81,0
PC-0181,Bộ lưu điện APC 1000VA,Phần cứng,2024-06-19,2026-04-24,172,Tốt,4902313.63,2
PC-0182,Laptop Dell XPS 13,Phần cứng,2023-10-08,2026-05-28,184,Tốt,2774078.04,2
PM-0183,Bản quyền Windows Server 2022,Phần mềm,2022-08-06,2024-11-25,-368,Hỏng,2569947.45,0
GT-0184,Domain công ty .vn,Giấy tờ,2025-05-14,2026-04-19,165,Tốt,2618011.38,2
GT-0185,Biên bản kiểm tra tài sản,Giấy tờ,2024-08-02,2026-05-27,193,Tốt,735367.4,2
GT-0186,Hồ sơ nhân sự,Giấy tờ,2025-11-01,2026-05-15,195,Tốt,1291221.94,2
GT-0187,Biên bản hợp tác,Giấy tờ,2021-08-18,2024-05-13,-541,Hỏng,,0
PC-0188,Switch Cisco SG350,Phần cứng,2022-01-21,2024-05-03,-559,Hỏng,1200728.09,0
PM-0189,Domain công ty .vn,Phần mềm,2024-09-14,2026-04-21,147,Tốt,2300595.79,2
PM-0190,License phần mềm kế toán MISA,Phần mềm,2025-04-19,2026-09-07,276,Tốt,15568353.102866298,2
GT-0191,Phiếu đăng ký nội bộ,Giấy tờ,2025-02-21,2026-01-17,59,Tốt,3337788.69,2
PC-0192,Switch Cisco SG350,Phần cứng,2023-08-20,2025-12-15,46,Tốt,1119245.33,2
GT-0193,Giấy phép kinh doanh,Giấy tờ,2023-10-23,2025-11-15,6,Cần bảo trì,1738096.07,1
PC-0194,Switch Cisco SG350,Phần cứng,2025-10-10,2026-07-07,218,Tốt,603179.36,2
GT-0195,Biên bản thanh lý hợp đồng,Giấy tờ,2023-06-01,2025-03-02,-252,Hỏng,4471086.31,0
GT-0196,Hợp đồng thuê văn phòng,Giấy tờ,2026-11-08,2027-03-23,502,Tốt,461452.93,2
PM-0197,Bản quyền Windows Server 2022,Phần mềm,2023-02-05,2024-10-21,-400,Hỏng,408795.16,0
PC-0198,Máy chủ Dell PowerEdge,Phần cứng,2025-10-14,2026-06-30,232,Tốt,1886429.83,2
GT-0199,Biên bản thanh lý hợp đồng,Giấy tờ,2024-01-04,2026-05-30,204,Tốt,,2
GT-0200,Hợp đồng thuê văn phòng,Giấy tờ,2024-01-02,2026-03-10,101,Tốt,2682953.23,2
PC-0201,Máy chủ Dell PowerEdge,Phần cứng,2024-07-31,2025-07-08,-122,Hỏng,3799777.04,0
PC-0202,Thiết bị NAS Synology DS220+,Phần cứng,2024-09-17,2025-03-21,-228,Hỏng,311706.81,0
PM-0203,Bản quyền Windows Server 2022,Phần mềm,2024-03-09,2026-08-21,298,Tốt,52283600.24472968,2
PM-0204,Bản quyền Windows Server 2022,Phần mềm,2023-05-12,2025-03-19,-222,Hỏng,2660567.43,0
GT-0205,Biên bản thanh lý hợp đồng,Giấy tờ,2024-04-15,2026-06-05,184,Tốt,2663086.33,2
PM-0206,Giấy phép Microsoft 365,Phần mềm,2023-10-02,2025-07-19,-130,Hỏng,911419.39,0
PM-0207,Domain công ty .vn,Phần mềm,2022-08-12,2024-06-15,-507,Hỏng,1637486.76,0
GT-0208,Hợp đồng cung cấp dịch vụ,Giấy tờ,2022-04-01,2024-04-15,-568,Hỏng,3395511.6,0
PM-0209,License phần mềm kế toán MISA,Phần mềm,2022-01-25,2024-07-08,-484,Hỏng,2397910.51,0
PM-0210,Giấy phép Microsoft 365,Phần mềm,2023-12-19,2024-04-24,-509,Hỏng,2788711.33,0
GT-0211,Phiếu đăng ký nội bộ,Giấy tờ,2023-11-18,2025-11-06,3,Cần bảo trì,1893863.13,1
GT-0212,Hồ sơ nhân sự,Giấy tờ,2024-04-27,2026-02-11,108,Tốt,3229586.21,2
PC-0213,Switch Cisco SG350,Phần cứng,2023-11-18,2025-01-30,-272,Hỏng,4932576.24,0
GT-0214,Biên bản hợp tác,Giấy tờ,2023-07-30,2026-01-12,71,Tốt,1126663.99,2
PC-0215,Laptop Dell XPS 13,Phần cứng,2024-10-01,2025-12-05,18,Cần bảo trì,803406.87,1
PM-0216,Bản quyền Windows Server 2022,Phần mềm,2023-02-26,2025-03-06,-240,Hỏng,866867.98,0
PC-0217,Giấy phép Microsoft 365,Phần cứng,2024-08-22,2026-04-19,146,Tốt,258177.39,2
PM-0218,License phần mềm kế toán MISA,Phần mềm,2023-08-16,2024-11-05,-376,Hỏng,4911893.08,0
PM-0219,Gói dịch vụ Google Workspace,Phần mềm,2023-12-08,2025-07-02,-140,Hỏng,4847352.17,0
PM-0220,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2023-08-22,2024-07-17,-482,Hỏng,1289514.14,0
PC-0221,Máy chủ Dell PowerEdge,Phần cứng,2023-12-17,2024-10-01,-372,Hỏng,2783814.47,0
PC-0222,Bộ lưu điện APC 1000VA,Phần cứng,2023-10-22,2024-09-10,-456,Hỏng,3847464.67,0
PC-0223,Router Mikrotik RB750Gr3,Phần cứng,2026-01-08,2027-05-07,551,Tốt,3554762.39,2
PC-0224,Hồ sơ nhân sự,Phần cứng,2023-03-24,2024-07-12,-512,Hỏng,2649200.12,0
GT-0225,Giấy ủy quyền đại diện,Giấy tờ,2024-12-18,2026-01-04,46,Tốt,1443152.77,2
GT-0226,Giấy chứng nhận đăng ký doanh nghiệp,Giấy tờ,2022-08-06,2024-08-07,-446,Hỏng,4660071.71,0
GT-0227,Hợp đồng thuê văn phòng,Giấy tờ,2024-09-12,2026-09-09,302,Tốt,1683021.39,2
PC-0228,Thiết bị NAS Synology DS220+,Phần cứng,2022-05-19,2024-09-09,-445,Hỏng,1008652.31,0
PC-0229,Switch Cisco SG350,Phần cứng,2024-02-13,2025-02-05,-291,Hỏng,694123.87,0
GT-0230,Phiếu đăng ký nội bộ,Giấy tờ,2025-02-03,2026-05-07,186,Tốt,2978193.7,2
PC-0231,Ổ cứng WD 1TB,Phần cứng,2025-01-25,2027-04-14,507,Hỏng,4647645.72,0
GT-0232,Laptop Dell XPS 13,Giấy tờ,2023-08-13,2025-02-18,-264,Hỏng,4664690.34,0
PM-0233,Bản quyền Windows Server 2022,Phần mềm,2024-06-07,2025-10-30,-12,Hỏng,1896142.92,0
GT-0234,Biên bản hợp tác,Giấy tờ,2024-09-07,2026-09-25,307,Tốt,240473.22,2
GT-0235,Phiếu đăng ký nội bộ,Giấy tờ,2025-06-20,2026-08-11,304,Tốt,3752509.62,2
PC-0236,Ổ cứng WD 1TB,Phần cứng,2024-01-30,2026-03-16,134,Tốt,932024.93,2
PM-0237,Bản quyền Windows Server 2022,Phần mềm,2023-07-19,2024-06-07,-553,Hỏng,,0
GT-0238,Biên bản hợp tác,Giấy tờ,2024-08-16,2027-02-20,468,Tốt,1962225.54,2
PM-0239,Phần mềm quản lý nhân sự,Phần mềm,2025-07-01,2026-05-30,189,Tốt,2313398.93,2
